,Address,AreaSpace_SQFT,Bathrooms,Bedrooms,Cooling,Date_available,DaysOnZillow,Deposit_fees,Description,HOAFee,Heating,Latitude,Laundry,Locality,Longitude,Lot,Parking,Pets,PredictionPrice,PredictionRent,Price,Price_PerSQFT,Rent,RentRatio,Rentzestimate,SaleHistory,Saves,State,Status,TransitScore,Type,WalkScore,YearBuilt,ZestimatePrice,ZipCode,_id,location,zid
,"15972 Treasure Cv, Bullard, TX 75757",2688,4.0,3,Central,,,,,,Other,32.13971,,Bullard,-95.438454,0.36 acres,2 spaces,,,2266.882174490209,658000,245,,0.0034451096876750896,,"[{'event': 'Price change', 'date': '5/31/2019', 'price': '$658,000(-5.3%)'}, {'event': 'Price change', 'date': '3/16/2019', 'price': '$695,000(-8.5%)'}, {'event': 'Listed for sale', 'date': '1/24/2019', 'price': '$759,500--'}]",,TX,For sale,,Single Family,,2009,578757,75757,5d02c5dc00263965f67ecdba,"{'coordinates': [-95.438454, 32.13971], 'type': 'Point'}",102574998
,"819 Colorado Dr, Newark, DE 19713",4125,4.0,4,Central,,,,,,Forced air,39.65282,,Newark,-75.766984,"8,712 sqft",2 spaces,,,2737.9747980014654,499900,121,,0.005477045005003932,,"[{'date': '4/26/2019', 'event': 'Price change', 'price': '$499,900(-2%)'}, {'date': '4/10/2019', 'event': 'Listed for sale', 'price': '$509,900(-2.9%)'}, {'date': '9/11/2018', 'event': 'Listing removed', 'price': '$524,900--'}, {'date': '5/23/2018', 'event': 'Price change', 'price': '$524,900(-2.8%)'}, {'date': '5/1/2018', 'event': 'Listed for sale', 'price': '$539,900(+0.4%)'}]",,DE,For sale,,Single Family,,2010,481308,19713,5cfaa4445174500cad2ae364,"{'coordinates': [-75.766984, 39.65282], 'type': 'Point'}",102676092
,"733 Parkman Dr, Bear, DE 19701",5851,5.0,4,Central,,,,,,Forced air,39.567776,,Bear,-75.664718,0.35 acres,Attached Garage,,,2592.572755600715,649900,111,,0.003989187191261294,,"[{'date': '4/16/2019', 'event': 'Listed for sale', 'price': '$649,900(-2.7%)'}, {'date': '3/2/2010', 'event': 'Sold', 'price': '$667,680(-54.7%)'}, {'date': '9/11/2006', 'event': 'Sold', 'price': '$1,473,600--'}]",,DE,For sale,,Single Family,,2010,0,19701,5cfaa58974c89897292ae36c,"{'coordinates': [-75.664718, 39.567776], 'type': 'Point'}",102676123
,"816 Barcelona St, Townsend, DE 19734",2927,3.0,3,Central,,,,,,Forced air,39.406504,,Townsend,-75.641085,"7,840 sqft",Attached Garage,,,2328.5526115549646,297500,102,,0.007827067601865427,,"[{'date': '6/3/2019', 'event': 'Price change', 'price': '$297,500(-0.8%)'}, {'date': '5/18/2019', 'event': 'Listed for sale', 'price': '$300,000(+16%)'}, {'date': '10/2/2009', 'event': 'Sold', 'price': '$258,585(+530.7%)'}, {'date': '7/27/2009', 'event': 'Sold', 'price': '$41,000--'}]",,DE,For sale,,Single Family,,2009,297863,19734,5cfaa6241101e19cba2ae35c,"{'coordinates': [-75.641085, 39.406504], 'type': 'Point'}",102676370
,"652 Grears Corner Rd, Townsend, DE 19734",1450,1.0,4,Central,,,,,,Baseboard,39.385044,,Townsend,-75.713226,3.18 acres,1 space,,,1594.9364346557545,309900,214,,0.005146616439676523,,"[{'date': '4/6/2019', 'event': 'Price change', 'price': '$309,900(-3.1%)'}, {'date': '3/3/2019', 'event': 'Listed for sale', 'price': '$319,900--'}]",,DE,For sale,,Single Family,,1975,297302,19734,5cfaaabf1101e19cba2ae377,"{'coordinates': [-75.713226, 39.385044], 'type': 'Point'}",102676379
,"377 Paddock Rd, Townsend, DE 19734",1675,2.0,3,Central,,,,,,Baseboard,39.362703,,Townsend,-75.580123,2.94 acres,5 spaces,,,1582.2930062303399,325000,194,,0.004868593865324122,,"[{'date': '5/6/2019', 'event': 'Sold', 'price': '$320,000(-1.5%)'}, {'date': '3/4/2019', 'event': 'Listed for sale', 'price': '$325,000(+5.9%)'}, {'date': '11/30/2017', 'event': 'Sold', 'price': '$307,000(+33.5%)'}, {'date': '11/14/2011', 'event': 'Sold', 'price': '$230,000(-1.9%)'}, {'date': '10/5/2011', 'event': 'Listing removed', 'price': '$234,500--'}]",,DE,For sale,,Single Family,,1997,316276,19734,5cfaaa8c1101e19cba2ae376,"{'coordinates': [-75.580123, 39.362703], 'type': 'Point'}",102676464
,"1 Dansfield Dr, Wilmington, DE 19803",2825,3.0,4,Other,,,,,,Forced air,39.776682,,Wilmington,-75.527084,0.37 acres,Attached Garage,,,2246.532674775624,459900,163,,0.004884828603556477,,"[{'date': '4/29/2019', 'event': 'Listed for sale', 'price': '$459,900--'}]",,DE,For sale,,Single Family,,1972,457699,19803,5cfaa5a5422938eb2a2ae35f,"{'coordinates': [-75.527084, 39.776682], 'type': 'Point'}",102678034
,"4979 Ogletown Stanton Rd, Newark, DE 19713",1375,0.0,0,No Data,,,,,,Forced air,39.698309,,Newark,-75.658303,1.59 acres,Detached Garage,,,1182.947140727295,999000,727,,0.0011841312719992941,,"[{'date': '3/25/2019', 'event': 'Listed for sale', 'price': '$999,000--'}]",,DE,For sale,,Single Family,,1947,1033689,19713,5cfaa4b45174500cad2ae36a,"{'coordinates': [-75.658303, 39.698309], 'type': 'Point'}",102678981
,"55 Taurus Rd, Emigrant, MT 59027",1680,2.0,3,Central,,,,,,Forced air,45.360337,,Emigrant,-110.762627,3.24 acres,3 spaces,,,1491.696665657286,259500,154,,0.005748349385962566,,"[{'date': '5/13/2019', 'event': 'Listed for sale', 'price': '$259,500--'}, {'date': '7/28/2018', 'event': 'Listing removed', 'price': '$1,200--'}, {'date': '7/11/2018', 'event': 'Price change', 'price': '$1,200(-14.3%)'}, {'date': '6/28/2018', 'event': 'Price change', 'price': '$1,400(-6.7%)'}, {'date': '5/31/2018', 'event': 'Listed for rent', 'price': '$1,500--'}]",,MT,For sale,,Single Family,,1989,249363,59027,5cfaa4a1340f390ba72c054e,"{'type': 'Point', 'coordinates': [-110.762627, 45.360337]}",102697750
,"4660 Reka Dr, Apartment D23, Anchorage, AK 99508",1100,2.0,3,Central,,,,,$278/month,Baseboard,61.204159,,Anchorage,-149.793823,,1 space,,,1470.560203993463,109000,99,,0.01349137801828865,,"[{'price': '$109,000(+10.1%)', 'event': 'Listed for sale', 'date': '4/22/2019'}, {'price': '$99,000--', 'event': 'Listing removed', 'date': '12/1/2018'}, {'price': '$99,000--', 'event': 'Back on market', 'date': '6/18/2018'}, {'price': '$99,000--', 'event': 'Pending sale', 'date': '6/2/2018'}, {'price': '$99,000(-9.2%)', 'event': 'Price change', 'date': '4/1/2018'}]",,AK,For sale,,Condo,,1978,111829,99508,5d0279e0882c28a161aa5dad,"{'coordinates': [-149.793823, 61.204159], 'type': 'Point'}",10272
,"65 Antelope Springs Rd, Tie Siding, WY 82084",5235,4.0,3,Other,,,,,,Forced air,41.004748,,Tie Siding,-105.567495,35 acres,2 spaces,,,3513.8831410209878,950000,181,,0.003698824358969461,,"[{'date': '5/28/2019', 'event': 'Price change', 'price': '$950,000(-13.6%)'}, {'date': '7/18/2018', 'event': 'Listed for sale', 'price': '$1,100,000(-8.3%)'}, {'date': '7/18/2015', 'event': 'Listing removed', 'price': '$1,200,000--'}, {'date': '5/16/2015', 'event': 'Price change', 'price': '$1,200,000(-7.7%)'}, {'date': '2/18/2015', 'event': 'Listed for sale', 'price': '$1,300,000--'}]",,WY,For sale,,Single Family,,2001,1052172,82084,5cfaab6ab113158303c3a571,"{'type': 'Point', 'coordinates': [-105.567495, 41.004748]}",102738564
,"376 Deer Crossing Rd, Tie Siding, WY 82084",3696,4.0,3,None,,,,,,Forced air,41.012076,,Tie Siding,-105.611621,35 acres,2 spaces,,,4264.018008070481,1225000,331,,0.003480831026996311,,"[{'date': '7/18/2018', 'event': 'Listed for sale', 'price': '$1,225,000--'}, {'date': '6/23/2017', 'event': 'Listing removed', 'price': '$1,225,000--'}, {'date': '5/11/2017', 'event': 'Listed for sale', 'price': '$1,225,000(-3.9%)'}, {'date': '11/16/2016', 'event': 'Listing removed', 'price': '$1,275,000--'}, {'date': '8/2/2016', 'event': 'Listed for sale', 'price': '$1,275,000--'}]",,WY,For sale,,Single Family,,2008,1125465,82084,5cfaab63b113158303c3a570,"{'type': 'Point', 'coordinates': [-105.611621, 41.012076]}",102738566
,"237 State Highway 10, Jelm, WY 82063",2760,1.0,3,No Data,,,,,,Forced air,41.080734,,Jelm,-106.010321,0.52 acres,5 spaces,,,1606.4745171269133,220000,80,,0.007302156896031424,,"[{'date': '3/26/2019', 'event': 'Price change', 'price': '$220,000(-2.2%)'}, {'date': '2/1/2019', 'event': 'Listed for sale', 'price': '$225,000--'}]",,WY,For sale,,Single Family,,1944,0,82063,5cfaab4c4f4ad1023cc3a56a,"{'type': 'Point', 'coordinates': [-106.010321, 41.080734]}",102738902
